transaction_count,total_spent,avg_transaction,std_transaction,total_items,avg_items,first_purchase,last_purchase,recency_days,customer_lifetime_days,customer_id,age,gender,city,loyalty_tier,cluster
3,2891.35,963.7833333333333,1120.353775034178,9,3.0,2024-11-11 19:19:53.932529,2025-09-24 19:19:53.954921,40,317,41,59,F,Phoenix,Silver,0
4,3985.52,996.38,469.45227574269995,15,3.75,2024-12-18 19:19:53.947530,2025-10-17 19:19:53.949532,17,303,43,77,M,Houston,Silver,0
2,2127.48,1063.74,32.49862766333375,11,5.5,2025-07-16 19:19:53.934529,2025-11-04 19:19:53.954921,-1,111,44,33,M,Los Angeles,Bronze,1
3,5555.33,1851.7766666666666,1143.6840626822307,16,5.333333333333333,2024-11-30 19:19:53.936529,2025-06-14 19:19:53.939529,142,196,45,32,M,Chicago,Gold,0
1,446.38,446.38,0.0,2,2.0,2025-01-25 19:19:53.951533,2025-01-25 19:19:53.951533,282,0,46,79,M,Los Angeles,Silver,1
1,1923.1,1923.1,0.0,5,5.0,2025-04-25 19:19:53.929529,2025-04-25 19:19:53.929529,192,0,47,79,F,Phoenix,Gold,1
2,2913.26,1456.63,707.1209233221714,11,5.5,2025-05-18 19:19:53.939529,2025-08-07 19:19:53.940529,88,81,49,79,F,Los Angeles,Silver,1
1,1861.68,1861.68,0.0,4,4.0,2025-05-10 19:19:53.934529,2025-05-10 19:19:53.934529,177,0,50,68,F,Chicago,Gold,1
2,2512.41,1256.205,294.036212820802,6,3.0,2025-02-05 19:19:53.952915,2025-02-27 19:19:53.938529,249,21,52,72,F,Houston,Gold,1
2,4189.27,2094.635,1815.4188789505304,11,5.5,2025-05-28 19:19:53.935529,2025-09-02 19:19:53.933530,62,96,53,69,F,Los Angeles,Gold,0
2,1057.3700000000001,528.6850000000001,256.68683263852864,5,2.5,2024-12-27 19:19:53.934529,2025-09-24 19:19:53.929529,40,270,54,74,M,Phoenix,Bronze,1
1,2690.82,2690.82,0.0,6,6.0,2025-06-05 19:19:53.929529,2025-06-05 19:19:53.929529,151,0,55,20,M,New York,Gold,1
2,2562.4,1281.2,667.5088014401009,9,4.5,2024-11-16 19:19:53.946533,2025-05-24 19:19:53.928529,163,188,56,54,F,Los Angeles,Bronze,1
1,1741.65,1741.65,0.0,5,5.0,2025-02-08 19:19:53.946533,2025-02-08 19:19:53.946533,268,0,57,68,F,New York,Gold,1
1,401.2,401.2,0.0,2,2.0,2025-01-17 19:19:53.940529,2025-01-17 19:19:53.940529,290,0,58,24,F,Phoenix,Silver,1
1,625.82,625.82,0.0,2,2.0,2025-04-18 19:19:53.942531,2025-04-18 19:19:53.942531,199,0,59,38,M,Los Angeles,Gold,1
6,4663.99,777.3316666666666,480.6177158789163,28,4.666666666666667,2025-01-24 19:19:53.929529,2025-08-22 19:19:53.955921,73,210,61,56,M,Chicago,Bronze,0
1,2009.46,2009.46,0.0,6,6.0,2025-08-07 19:19:53.934529,2025-08-07 19:19:53.934529,88,0,63,21,M,Chicago,Gold,1
2,1173.27,586.635,428.95218667119536,12,6.0,2025-03-13 19:19:53.927531,2025-10-05 19:19:53.943532,29,206,65,77,M,Chicago,Bronze,1
1,166.02,166.02,0.0,2,2.0,2025-01-04 19:19:53.939529,2025-01-04 19:19:53.939529,303,0,66,31,F,Los Angeles,Silver,1
5,4442.78,888.5559999999999,648.0879857164458,14,2.8,2024-11-09 19:19:53.930529,2025-06-07 19:19:53.937529,149,210,67,67,M,Los Angeles,Silver,0
3,2355.43,785.1433333333333,375.41363658414605,9,3.0,2025-02-20 19:19:53.938529,2025-08-19 19:19:53.935529,76,179,68,75,M,Houston,Gold,0
2,3876.8100000000004,1938.4050000000002,2268.900599861087,12,6.0,2024-11-27 19:19:53.954921,2025-04-16 19:19:53.938529,201,139,70,43,M,Chicago,Silver,1
4,5238.98,1309.745,1413.8204394594575,17,4.25,2024-12-02 19:19:53.935529,2025-04-18 19:19:53.935529,199,137,72,19,M,Houston,Silver,0
4,3665.06,916.265,652.4308429506788,12,3.0,2025-02-17 19:19:53.930529,2025-05-24 19:19:53.937529,163,96,73,37,M,Los Angeles,Bronze,0
2,2029.47,1014.735,923.5733801111853,5,2.5,2025-07-18 19:19:53.955921,2025-09-14 19:19:53.955921,50,58,74,45,F,Phoenix,Bronze,1
4,6609.17,1652.2925,1216.8575648057583,20,5.0,2025-02-11 19:19:53.940529,2025-08-18 19:19:53.931529,77,187,75,64,F,Phoenix,Bronze,0
2,4053.76,2026.88,2592.9888508823174,16,8.0,2025-04-09 19:19:53.936529,2025-09-08 19:19:53.940529,56,152,76,77,F,Houston,Silver,0
1,3224.88,3224.88,0.0,8,8.0,2025-11-01 19:19:53.949532,2025-11-01 19:19:53.949532,2,0,77,24,F,Los Angeles,Bronze,1
2,615.66,307.83,303.43366194277127,6,3.0,2024-11-19 19:19:53.938529,2025-04-05 19:19:53.928529,212,136,78,61,F,Phoenix,Silver,1
2,2425.81,1212.905,732.6404070551937,13,6.5,2025-01-11 19:19:53.931529,2025-02-28 19:19:53.940529,248,48,79,78,M,Los Angeles,Bronze,1
2,4887.27,2443.635,2859.136772253122,17,8.5,2024-11-21 19:19:53.952915,2025-09-28 19:19:53.954921,36,311,81,64,M,Houston,Silver,0
2,3841.12,1920.56,2542.642848061835,15,7.5,2024-12-01 19:19:53.955921,2025-10-20 19:19:53.939529,14,322,82,52,M,Houston,Gold,0
2,4076.54,2038.27,453.9766956573875,14,7.0,2024-11-26 19:19:53.938529,2025-01-06 19:19:53.934529,301,40,83,31,M,New York,Gold,1
1,2491.7,2491.7,0.0,5,5.0,2025-03-22 19:19:53.933530,2025-03-22 19:19:53.933530,226,0,84,34,F,Phoenix,Silver,1
1,2220.0,2220.0,0.0,8,8.0,2025-02-05 19:19:53.939529,2025-02-05 19:19:53.939529,271,0,85,53,F,Phoenix,Silver,1
1,3910.24,3910.24,0.0,8,8.0,2025-02-04 19:19:53.933530,2025-02-04 19:19:53.933530,272,0,86,67,F,Phoenix,Gold,1
2,4523.34,2261.67,2335.276713411068,17,8.5,2024-12-13 19:19:53.939529,2025-07-20 19:19:53.934529,106,218,87,57,F,Chicago,Gold,0
1,1001.14,1001.14,0.0,7,7.0,2025-01-02 19:19:53.939529,2025-01-02 19:19:53.939529,305,0,88,21,M,Los Angeles,Gold,1
4,4114.07,1028.5175,824.2870833382831,15,3.75,2025-03-23 19:19:53.930529,2025-10-17 19:19:53.935529,17,208,90,79,M,Phoenix,Bronze,0
2,2040.7,1020.35,995.1679417063233,7,3.5,2025-01-01 19:19:53.950533,2025-06-02 19:19:53.935529,154,151,91,23,F,New York,Silver,1
3,2779.06,926.3533333333334,461.49726080805004,17,5.666666666666667,2024-12-30 19:19:53.945531,2025-07-28 19:19:53.950533,98,210,92,71,M,Phoenix,Gold,0
1,58.6,58.6,0.0,5,5.0,2024-12-21 19:19:53.949532,2024-12-21 19:19:53.949532,317,0,94,21,M,Los Angeles,Silver,1
2,2225.73,1112.865,1178.0752527958475,15,7.5,2025-01-20 19:19:53.928529,2025-01-22 19:19:53.930529,285,2,95,71,M,Houston,Gold,1
1,1124.88,1124.88,0.0,4,4.0,2025-04-17 19:19:53.953922,2025-04-17 19:19:53.953922,200,0,97,35,M,Houston,Bronze,1
1,1709.89,1709.89,0.0,7,7.0,2025-07-23 19:19:53.931529,2025-07-23 19:19:53.931529,103,0,98,43,M,Phoenix,Gold,1
3,4895.71,1631.9033333333334,1376.101281168408,13,4.333333333333333,2024-11-21 19:19:53.943532,2025-09-24 19:19:53.939529,40,306,99,61,F,New York,Silver,0
1,576.16,576.16,0.0,8,8.0,2025-09-22 19:19:53.940529,2025-09-22 19:19:53.940529,42,0,101,27,F,Chicago,Bronze,1
3,1345.81,448.6033333333333,684.2678842626865,12,4.0,2025-02-02 19:19:53.946533,2025-05-26 19:19:53.949532,161,113,105,48,M,Phoenix,Bronze,1
5,5449.36,1089.8719999999998,532.6817345939318,22,4.4,2024-12-16 19:19:53.940529,2025-10-20 19:19:53.949532,14,308,106,65,M,Phoenix,Silver,0
1,2791.98,2791.98,0.0,9,9.0,2025-04-09 19:19:53.950533,2025-04-09 19:19:53.950533,208,0,107,32,M,Phoenix,Gold,1
1,2750.02,2750.02,0.0,7,7.0,2025-01-04 19:19:53.950533,2025-01-04 19:19:53.950533,303,0,109,31,M,Phoenix,Bronze,1
3,1879.22,626.4066666666666,217.41317815011425,9,3.0,2025-06-10 19:19:53.935529,2025-10-06 19:19:53.946533,28,118,110,40,F,New York,Gold,1
1,3743.52,3743.52,0.0,8,8.0,2025-08-29 19:19:53.937529,2025-08-29 19:19:53.937529,66,0,111,77,F,Chicago,Gold,1
1,624.75,624.75,0.0,7,7.0,2025-06-11 19:19:53.934529,2025-06-11 19:19:53.934529,145,0,113,79,M,Chicago,Gold,1
1,93.03,93.03,0.0,1,1.0,2025-05-06 19:19:53.935529,2025-05-06 19:19:53.935529,181,0,114,57,F,Phoenix,Silver,1
2,3080.51,1540.255,893.9597481150928,10,5.0,2024-11-12 19:19:53.934529,2025-09-18 19:19:53.927531,46,309,115,38,M,Houston,Bronze,0
4,7062.47,1765.6175,1543.2124250488007,22,5.5,2024-11-27 19:19:53.936529,2025-08-31 19:19:53.932529,64,276,116,33,M,Phoenix,Silver,0
2,926.4599999999999,463.22999999999996,352.7755731339685,9,4.5,2024-12-07 19:19:53.929529,2025-05-13 19:19:53.927531,174,156,117,62,F,Los Angeles,Bronze,1
2,6719.16,3359.58,26.332656531386874,15,7.5,2025-03-10 19:19:53.928529,2025-09-08 19:19:53.950533,56,182,118,35,M,New York,Silver,0
1,881.67,881.67,0.0,3,3.0,2025-01-31 19:19:53.939529,2025-01-31 19:19:53.939529,276,0,119,64,M,Houston,Silver,1
1,1384.35,1384.35,0.0,5,5.0,2025-06-03 19:19:53.927531,2025-06-03 19:19:53.927531,153,0,120,70,F,Houston,Gold,1
2,2173.58,1086.79,1396.0692023678482,10,5.0,2024-12-10 19:19:53.940529,2025-09-17 19:19:53.934529,47,280,121,41,M,Los Angeles,Bronze,0
1,442.62,442.62,0.0,9,9.0,2025-10-07 19:19:53.938529,2025-10-07 19:19:53.938529,27,0,122,43,M,Phoenix,Gold,1
2,4830.610000000001,2415.3050000000003,212.90278074745754,16,8.0,2025-04-11 19:19:53.940529,2025-07-10 19:19:53.942531,116,90,123,42,F,New York,Gold,0
1,513.0,513.0,0.0,4,4.0,2025-02-10 19:19:53.932529,2025-02-10 19:19:53.932529,266,0,124,77,M,Houston,Bronze,1
2,378.72,189.36,94.05934403343457,4,2.0,2024-11-15 19:19:53.936529,2025-02-10 19:19:53.938529,266,87,125,77,F,New York,Silver,1
2,3734.31,1867.155,1960.503048314386,17,8.5,2025-02-10 19:19:53.928529,2025-08-18 19:19:53.930529,77,189,126,77,M,Houston,Bronze,0
2,4777.24,2388.62,790.4605285528176,11,5.5,2025-07-10 19:19:53.928529,2025-09-06 19:19:53.937529,58,58,127,62,M,Phoenix,Bronze,0
2,1795.6,897.8,1066.034183316839,9,4.5,2025-04-24 19:19:53.927531,2025-10-25 19:19:53.934529,9,184,128,58,F,Houston,Bronze,1
4,4766.95,1191.7375,982.9293569182207,15,3.75,2024-11-26 19:19:53.935529,2025-10-25 19:19:53.938529,9,333,129,46,F,Houston,Gold,0
3,4089.55,1363.1833333333334,640.8939547486256,13,4.333333333333333,2025-04-03 19:19:53.936529,2025-10-24 19:19:53.930529,10,203,130,32,M,Chicago,Bronze,0
2,3333.8799999999997,1666.9399999999998,1443.6009201992078,15,7.5,2025-03-21 19:19:53.929529,2025-07-06 19:19:53.926533,120,106,131,62,F,Phoenix,Bronze,1
1,2434.15,2434.15,0.0,5,5.0,2025-04-11 19:19:53.944533,2025-04-11 19:19:53.944533,206,0,133,42,M,Los Angeles,Silver,1
3,3049.59,1016.5300000000001,1334.6492553850992,22,7.333333333333333,2025-10-07 19:19:53.946533,2025-10-17 19:19:53.928529,17,9,134,24,M,Phoenix,Silver,0
2,834.11,417.055,307.9662164101771,3,1.5,2025-04-18 19:19:53.954921,2025-10-11 19:19:53.934529,23,175,135,26,M,Los Angeles,Silver,1
3,1972.51,657.5033333333333,493.0027405941405,11,3.6666666666666665,2025-01-07 19:19:53.934529,2025-08-05 19:19:53.942531,90,210,137,18,F,Los Angeles,Gold,0
2,3153.1400000000003,1576.5700000000002,666.2784356408362,11,5.5,2025-03-30 19:19:53.928529,2025-06-30 19:19:53.931529,126,92,138,61,F,Chicago,Gold,1
3,3490.74,1163.58,544.1849443893133,16,5.333333333333333,2024-12-27 19:19:53.951533,2025-09-20 19:19:53.938529,44,266,139,25,F,Los Angeles,Bronze,0
1,1347.36,1347.36,0.0,4,4.0,2024-12-02 19:19:53.934529,2024-12-02 19:19:53.934529,336,0,140,41,M,Houston,Gold,1
2,2684.76,1342.38,823.4965573698533,7,3.5,2024-11-14 19:19:53.930529,2025-09-02 19:19:53.936529,62,292,141,28,F,Phoenix,Silver,0
3,5187.84,1729.28,1388.939091573133,22,7.333333333333333,2025-02-02 19:19:53.949532,2025-09-16 19:19:53.932529,48,225,142,68,M,New York,Bronze,0
3,5940.6900000000005,1980.2300000000002,1547.5629195286374,19,6.333333333333333,2024-12-15 19:19:53.937529,2025-10-30 19:19:53.938529,4,319,143,34,F,New York,Bronze,0
3,5672.389999999999,1890.7966666666664,812.8362050458464,20,6.666666666666667,2024-12-15 19:19:53.927531,2025-02-24 19:19:53.938529,252,71,144,25,M,Phoenix,Silver,0
1,1088.67,1088.67,0.0,3,3.0,2025-03-31 19:19:53.955921,2025-03-31 19:19:53.955921,217,0,145,52,M,Chicago,Silver,1
4,4960.08,1240.02,656.0185822571391,18,4.5,2025-02-03 19:19:53.946533,2025-04-17 19:19:53.929529,200,72,146,52,M,Los Angeles,Silver,0
3,1242.97,414.3233333333333,268.9866473141991,21,7.0,2025-01-14 19:19:53.949532,2025-09-14 19:19:53.927531,50,242,147,50,F,Chicago,Gold,0
2,2501.95,1250.975,256.7858275878946,12,6.0,2025-08-24 19:19:53.936529,2025-10-27 19:19:53.931529,7,63,148,76,M,New York,Bronze,1
5,5651.52,1130.304,578.090411769647,21,4.2,2024-12-01 19:19:53.950533,2025-07-25 19:19:53.946533,101,235,149,22,M,Phoenix,Silver,0
1,2400.75,2400.75,0.0,5,5.0,2025-05-08 19:19:53.934529,2025-05-08 19:19:53.934529,179,0,151,56,M,Chicago,Bronze,1
3,4471.15,1490.3833333333332,1131.418246464734,13,4.333333333333333,2025-01-10 19:19:53.938529,2025-07-21 19:19:53.943532,105,192,152,75,F,Chicago,Gold,0
1,385.6,385.6,0.0,2,2.0,2024-11-15 19:19:53.933530,2024-11-15 19:19:53.933530,353,0,153,58,F,Los Angeles,Bronze,1
5,6007.84,1201.568,1092.0051227535519,21,4.2,2024-11-09 19:19:53.934529,2025-09-02 19:19:53.933530,62,296,154,45,M,Houston,Silver,0
4,7002.099999999999,1750.5249999999999,1327.943296342129,23,5.75,2025-01-15 19:19:53.937529,2025-09-27 19:19:53.938529,37,255,155,24,M,Houston,Silver,0
3,4610.8,1536.9333333333334,107.73034731835477,12,4.0,2024-12-25 19:19:53.939529,2025-10-07 19:19:53.932529,27,285,156,26,F,Los Angeles,Bronze,0
1,566.78,566.78,0.0,2,2.0,2025-02-18 19:19:53.938529,2025-02-18 19:19:53.938529,258,0,157,25,M,Houston,Bronze,1
2,2554.27,1277.135,1015.3134139023279,12,6.0,2025-01-21 19:19:53.933530,2025-06-03 19:19:53.930529,153,132,159,51,F,Houston,Silver,1
1,732.39,732.39,0.0,3,3.0,2025-02-10 19:19:53.933530,2025-02-10 19:19:53.933530,266,0,160,50,F,Los Angeles,Silver,1
2,4332.16,2166.08,2463.107477313972,16,8.0,2024-12-02 19:19:53.927531,2025-04-17 19:19:53.934529,200,136,161,65,M,Houston,Bronze,0
4,3839.45,959.8625,762.4165677797147,19,4.75,2025-06-22 19:19:53.933530,2025-11-03 19:19:53.927531,0,133,162,72,F,Phoenix,Bronze,0
2,886.02,443.01,91.48547534991552,13,6.5,2025-07-25 19:19:53.931529,2025-11-03 19:19:53.939529,0,101,163,40,M,Chicago,Bronze,1
1,1797.6,1797.6,0.0,6,6.0,2024-12-04 19:19:53.931529,2024-12-04 19:19:53.931529,334,0,164,79,M,New York,Silver,1
2,1381.5,690.75,89.51971849821686,8,4.0,2025-07-31 19:19:53.929529,2025-08-22 19:19:53.939529,73,22,165,41,M,Phoenix,Bronze,1
3,5282.860000000001,1760.9533333333336,1249.9423212425977,16,5.333333333333333,2025-07-21 19:19:53.929529,2025-09-17 19:19:53.935529,47,58,166,54,M,Phoenix,Gold,0
1,622.02,622.02,0.0,7,7.0,2024-11-12 19:19:53.933530,2024-11-12 19:19:53.933530,356,0,167,52,F,Los Angeles,Gold,1
2,4567.42,2283.71,992.0708140047262,16,8.0,2025-02-06 19:19:53.936529,2025-02-17 19:19:53.938529,259,11,171,44,M,Los Angeles,Gold,1
3,4653.33,1551.11,617.2372980467076,24,8.0,2024-11-09 19:19:53.929529,2025-06-09 19:19:53.937529,147,212,172,52,F,New York,Gold,0
1,682.56,682.56,0.0,3,3.0,2025-10-14 19:19:53.939529,2025-10-14 19:19:53.939529,20,0,173,18,F,Houston,Gold,1
1,445.55,445.55,0.0,7,7.0,2025-05-26 19:19:53.932529,2025-05-26 19:19:53.932529,161,0,174,52,M,Phoenix,Silver,1
1,3878.32,3878.32,0.0,8,8.0,2025-05-31 19:19:53.933530,2025-05-31 19:19:53.933530,156,0,175,54,F,New York,Bronze,1
2,2055.12,1027.56,199.14955385337925,15,7.5,2025-04-07 19:19:53.940529,2025-07-26 19:19:53.934529,100,109,176,64,F,Phoenix,Gold,1
1,464.97,464.97,0.0,3,3.0,2025-05-16 19:19:53.938529,2025-05-16 19:19:53.938529,171,0,177,31,F,Los Angeles,Bronze,1
3,4384.110000000001,1461.3700000000001,1018.7534930983059,15,5.0,2024-11-14 19:19:53.937529,2025-09-08 19:19:53.953922,56,298,179,18,M,Los Angeles,Silver,0
2,2179.69,1089.845,587.4713848775955,7,3.5,2024-11-22 19:19:53.938529,2024-12-17 19:19:53.950533,321,25,180,22,F,Houston,Silver,1
2,6225.2,3112.6,231.71889219483148,16,8.0,2025-05-06 19:19:53.933530,2025-07-02 19:19:53.932529,124,56,183,31,F,Los Angeles,Gold,0
1,124.56,124.56,0.0,1,1.0,2025-03-03 19:19:53.935529,2025-03-03 19:19:53.935529,245,0,184,56,M,Los Angeles,Silver,1
1,2196.48,2196.48,0.0,6,6.0,2025-09-01 19:19:53.936529,2025-09-01 19:19:53.936529,63,0,185,44,F,New York,Silver,1
5,5082.0,1016.4,798.8275762641148,24,4.8,2024-12-22 19:19:53.936529,2025-09-23 19:19:53.935529,41,274,187,32,F,New York,Silver,0
2,3024.0,1512.0,614.5889299360996,9,4.5,2025-08-24 19:19:53.933530,2025-09-06 19:19:53.954921,58,13,188,32,M,Chicago,Gold,1
3,4162.53,1387.51,907.0789623290797,12,4.0,2025-02-25 19:19:53.927531,2025-09-18 19:19:53.954921,46,205,190,59,M,Chicago,Silver,0
2,2146.3,1073.15,1001.164207210785,8,4.0,2025-05-08 19:19:53.937529,2025-05-20 19:19:53.927531,167,11,191,77,M,Los Angeles,Silver,1
4,2092.04,523.01,307.15661173631497,17,4.25,2024-11-06 19:19:53.935529,2025-07-20 19:19:53.935529,106,256,192,30,M,Los Angeles,Gold,0
3,3724.8,1241.6000000000001,727.3274033061041,16,5.333333333333333,2024-12-18 19:19:53.934529,2025-09-10 19:19:53.945531,54,266,193,68,F,New York,Bronze,0
3,2613.4300000000003,871.1433333333334,681.486761011051,18,6.0,2024-11-21 19:19:53.934529,2025-02-27 19:19:53.932529,249,97,194,49,F,Houston,Silver,1
3,1290.9099999999999,430.3033333333333,275.80821259225274,13,4.333333333333333,2025-08-20 19:19:53.936529,2025-11-01 19:19:53.936529,2,73,195,56,F,New York,Silver,1
1,315.15,315.15,0.0,1,1.0,2025-01-27 19:19:53.934529,2025-01-27 19:19:53.934529,280,0,196,66,M,Chicago,Gold,1
1,1095.78,1095.78,0.0,7,7.0,2024-12-04 19:19:53.939529,2024-12-04 19:19:53.939529,334,0,197,69,F,New York,Bronze,1
3,3414.53,1138.1766666666667,674.5916062576922,19,6.333333333333333,2024-12-22 19:19:53.927531,2025-03-18 19:19:53.933530,230,86,198,78,M,Houston,Bronze,0
1,154.49,154.49,0.0,1,1.0,2025-10-09 19:19:53.937529,2025-10-09 19:19:53.937529,25,0,199,49,M,Los Angeles,Bronze,1
1,393.59,393.59,0.0,1,1.0,2025-05-13 19:19:53.940529,2025-05-13 19:19:53.940529,174,0,200,21,F,New York,Bronze,1
2,4792.83,2396.415,1756.983574553274,12,6.0,2025-08-13 19:19:53.932529,2025-09-01 19:19:53.927531,63,18,201,47,F,Chicago,Gold,1
3,4134.5599999999995,1378.1866666666665,623.6759483364204,15,5.0,2024-11-30 19:19:53.934529,2025-05-11 19:19:53.932529,176,161,202,54,M,Chicago,Silver,0
1,123.86,123.86,0.0,1,1.0,2025-01-26 19:19:53.927531,2025-01-26 19:19:53.927531,281,0,203,40,M,Los Angeles,Silver,1
2,3429.63,1714.815,896.0244999161575,11,5.5,2025-01-22 19:19:53.934529,2025-08-02 19:19:53.939529,93,192,204,56,F,New York,Bronze,0
2,3475.12,1737.56,532.4796905047177,16,8.0,2025-05-11 19:19:53.931529,2025-08-04 19:19:53.934529,91,85,205,62,F,Houston,Bronze,0
2,1986.3899999999999,993.1949999999999,641.9327491645834,12,6.0,2025-04-22 19:19:53.934529,2025-06-23 19:19:53.933530,133,61,206,32,F,Los Angeles,Bronze,1
2,4988.32,2494.16,636.5516665597539,12,6.0,2024-12-06 19:19:53.935529,2025-04-18 19:19:53.927531,199,132,207,60,F,New York,Silver,0
6,8187.58,1364.5966666666666,920.4671342892514,25,4.166666666666667,2024-12-20 19:19:53.940529,2025-07-20 19:19:53.930529,106,211,208,46,M,Phoenix,Silver,0
1,1375.26,1375.26,0.0,3,3.0,2025-08-18 19:19:53.939529,2025-08-18 19:19:53.939529,77,0,209,53,F,Chicago,Bronze,1
3,5602.09,1867.3633333333335,1617.0973361035917,21,7.0,2025-04-25 19:19:53.953922,2025-10-10 19:19:53.944533,24,167,210,30,F,Houston,Gold,0
